,type,homo,index,RF,nrBS,right_gt
0,net,False,1,0.04333333333333333,0.439436289872733,87
1,net,True,1,0.02333333333333333,0.3916158782904944,93
2,net,False,2,0.07333333333333332,0.45123398973533513,83
3,net,True,2,0.02333333333333333,0.3875661370696902,93
4,net,False,3,0.06999999999999999,0.4420619992910587,83
5,net,True,3,0.03333333333333333,0.3863302452710384,90
6,net,False,4,0.04999999999999999,0.43338147739544824,85
7,net,True,4,0.026666666666666665,0.381078639895039,92
8,net,False,5,0.04333333333333333,0.44309524373142223,90
9,net,True,5,0.04,0.386683151932384,89
10,net,False,6,0.04999999999999999,0.43347028464791343,87
11,net,True,6,0.03,0.38596693612655947,91
12,net,False,7,0.07666666666666665,0.4501993122831341,81
13,net,True,7,0.03333333333333333,0.3795264335038953,90
14,net,False,8,0.05666666666666667,0.4357246892657165,87
15,net,True,8,0.026666666666666665,0.38796376914160113,92
16,net,False,9,0.09000000000000002,0.4453576587155175,80
17,net,True,9,0.03,0.3909994243776911,91
18,net,False,10,0.06666666666666667,0.441855869620083,84
19,net,True,10,0.02333333333333333,0.39018466389342166,93
